makerom,0,1060,0,0
boot,1060,7430,1060,0
dmadata,7430,D390,7430,0
Audiobank,D390,29DE0,D390,0
Audioseq,29DE0,79470,29DE0,0
Audiotable,79470,4D9F40,79470,0
kanji,4D9F40,556240,4D9F40,0
link_animetion,557000,7BCC30,556240,0
icon_item_static,7BD000,8458A0,7BBE70,0
icon_item_24_static,846000,851400,844710,0
icon_item_field_static,852000,85D930,84FB10,856570
icon_item_dungeon_static,85E000,85FD80,856570,856B90
icon_item_gameover_static,860000,863300,856B90,858290
icon_item_jpn_static,864000,871C80,858290,85D840
icon_item_nes_static,872000,87FC80,85D840,863220
item_name_static,880000,8BD800,863220,0
map_name_static,8BE000,8DF800,8A0A20,0
do_action_static,8E0000,8E5700,8C2220,0
message_static,8E6000,8EA180,8C7920,0
jpn_message_data_static,8EB000,925350,8CBAA0,0
message_texture_static,926000,927200,905DF0,0
nes_font_static,928000,92C580,906FF0,0
nes_message_data_static,92D000,965100,90B570,0
staff_message_data_static,966000,966F60,943670,0
map_grand_static,967000,975350,9445D0,0
map_i_static,976000,A64110,952920,0
map_48x85_static,A65000,A86DE0,A40A30,0
code,A87000,B8AEF0,A62810,AFD9C0
n64dd,B8AEF0,B9DBE0,AFD9C0,B076B0
ovl_title,B9DBE0,B9E5A0,B076B0,B07E70
ovl_select,B9E5A0,BA1300,B07E70,B099D0
ovl_opening,BA1300,BA1460,B099D0,B09B00
ovl_file_choose,BA1460,BB1380,B09B00,B12920
ovl_kaleido_scope,BB1380,BCDD10,B12920,B21970
ovl_player_actor,BCDD10,BF4290,B21970,B3AB90
ovl_map_mark_data,BF4290,BFADF0,B3AB90,B3AF40
ovl_En_Test,BFADF0,C006A0,B3AF40,B3E420
ovl_En_GirlA,C006A0,C02FC0,B3E420,B3F890
ovl_En_Part,C02FC0,C045D0,B3F890,B408B0
ovl_En_Light,C045D0,C053C0,B408B0,B41270
ovl_En_Door,C053C0,C06200,B41270,B41E40
ovl_En_Box,C06200,C07D30,B41E40,B43110
ovl_En_Poh,C07D30,C0BEC0,B43110,B45BA0
ovl_En_Okuta,C0BEC0,C0E4A0,B45BA0,B475F0
ovl_En_Bom,C0E4A0,C0F370,B475F0,B481A0
ovl_En_Wallmas,C0F370,C10D80,B481A0,B49340
ovl_En_Dodongo,C10D80,C13B20,B49340,B4B280
ovl_En_Firefly,C13B20,C15C90,B4B280,B4C8F0
ovl_En_Horse,C15C90,C21EB0,B4C8F0,B540A0
ovl_En_Arrow,C21EB0,C235A0,B540A0,B55120
ovl_En_Elf,C235A0,C27F60,B55120,B580E0
ovl_En_Niw,C27F60,C2B290,B580E0,B5A5B0
ovl_En_Tite,C2B290,C2E030,B5A5B0,B5C080
ovl_En_Reeba,C2E030,C2FAA0,B5C080,B5D380
ovl_En_Peehat,C2FAA0,C331A0,B5D380,B5F650
ovl_En_Holl,C331A0,C34170,B5F650,B601F0
ovl_En_Scene_Change,C34170,C342A0,B601F0,B602E0
ovl_En_Zf,C342A0,C3AD90,B602E0,B64750
ovl_En_Hata,C3AD90,C3B320,B64750,B64C50
ovl_Boss_Dodongo,C3B320,C44E00,B64C50,B6AEF0
ovl_Boss_Goma,C44E00,C4AD80,B6AEF0,B6E8A0
ovl_En_Zl1,C4AD80,C4EB80,B6E8A0,B707D0
ovl_En_Viewer,C4EB80,C51A30,B707D0,B72700
ovl_En_Goma,C51A30,C546C0,B72700,B744B0
ovl_Bg_Pushbox,C546C0,C549C0,B744B0,B74740
ovl_En_Bubble,C549C0,C55DE0,B74740,B756B0
ovl_Door_Shutter,C55DE0,C58060,B756B0,B76F70
ovl_En_Dodojr,C58060,C59F00,B76F70,B784C0
ovl_En_Bdfire,C59F00,C5AA90,B784C0,B78DC0
ovl_En_Boom,C5AA90,C5B350,B78DC0,B79500
ovl_En_Torch2,C5B350,C5DAB0,B79500,B7B1A0
ovl_En_Bili,C5DAB0,C5FD80,B7B1A0,B7C9D0
ovl_En_Tp,C5FD80,C61BD0,B7C9D0,B7DFF0
ovl_En_St,C61BD0,C64840,B7DFF0,B7FED0
ovl_En_Bw,C64840,C67BA0,B7FED0,B82170
ovl_En_Eiyer,C67BA0,C69800,B82170,B835A0
ovl_En_River_Sound,C69800,C6A190,B835A0,B83D70
ovl_En_Horse_Normal,C6A190,C6C7B0,B83D70,B855D0
ovl_En_Ossan,C6C7B0,C72D90,B855D0,B88DB0
ovl_Bg_Treemouth,C72D90,C743E0,B88DB0,B899B0
ovl_Bg_Dodoago,C743E0,C75120,B899B0,B8A410
ovl_Bg_Hidan_Dalm,C75120,C75970,B8A410,B8AA70
ovl_Bg_Hidan_Hrock,C75970,C761A0,B8AA70,B8B0E0
ovl_En_Horse_Ganon,C761A0,C76F20,B8B0E0,B8BB50
ovl_Bg_Hidan_Rock,C76F20,C78010,B8BB50,B8C820
ovl_Bg_Hidan_Rsekizou,C78010,C78BF0,B8C820,B8D110
ovl_Bg_Hidan_Sekizou,C78BF0,C7A040,B8D110,B8E090
ovl_Bg_Hidan_Sima,C7A040,C7AF60,B8E090,B8EC90
ovl_Bg_Hidan_Syoku,C7AF60,C7B3C0,B8EC90,B8EFA0
ovl_En_Xc,C7B3C0,C81B20,B8EFA0,B92430
ovl_Bg_Hidan_Curtain,C81B20,C825C0,B92430,B92C70
