makerom,0,1060,0,0
boot,1060,7950,1060,0
dmadata,7950,D8C0,7950,0
Audiobank,D8C0,39680,D8C0,0
Audioseq,39680,89100,39680,0
Audiotable,89100,4DA490,89100,0
link_animetion,4DA490,7400C0,4DA490,0
icon_item_static,741000,7CACA0,741000,0
icon_item_24_static,7CB000,7D6400,7CB000,0
icon_item_field_static,7D7000,7E2930,7D7000,0
icon_item_dungeon_static,7E3000,7E4D80,7E3000,0
icon_item_gameover_static,7E5000,7E8C80,7E5000,0
icon_item_nes_static,7E9000,7F6C80,7E9000,0
icon_item_ger_static,7F7000,805B80,7F7000,0
icon_item_fra_static,806000,815480,806000,0
item_name_static,816000,872400,816000,0
map_name_static,873000,8A5400,873000,0
do_action_static,8A6000,8AE280,8A6000,0
message_static,8AF000,8B3180,8AF000,0
message_texture_static,8B4000,8B5200,8B4000,0
nes_font_static,8B6000,8BA580,8B6000,0
nes_message_data_static,8BB000,8F3120,8BB000,0
ger_message_data_static,8F4000,92F9A0,8F4000,0
fra_message_data_static,930000,967310,930000,0
staff_message_data_static,968000,968F50,968000,0
map_grand_static,969000,977350,969000,0
map_i_static,978000,A66110,978000,0
map_48x85_static,A67000,A88DE0,A67000,0
code,A89000,B8A530,A89000,0
n64dd,B8A530,B9D1C0,B8A530,0
ovl_title,B9D1C0,B9DB80,B9D1C0,0
ovl_select,B9DB80,BA08E0,B9DB80,0
ovl_opening,BA08E0,BA0A40,BA08E0,0
ovl_file_choose,BA0A40,BB1230,BA0A40,0
ovl_kaleido_scope,BB1230,BCDE30,BB1230,0
ovl_player_actor,BCDE30,BF44E0,BCDE30,0
ovl_map_mark_data,BF44E0,BFB040,BF44E0,0
ovl_En_Test,BFB040,C008F0,BFB040,0
ovl_En_GirlA,C008F0,C03210,C008F0,0
ovl_En_Part,C03210,C04820,C03210,0
ovl_En_Light,C04820,C05610,C04820,0
ovl_En_Door,C05610,C06450,C05610,0
ovl_En_Box,C06450,C07F80,C06450,0
ovl_En_Poh,C07F80,C0C110,C07F80,0
ovl_En_Okuta,C0C110,C0E6F0,C0C110,0
ovl_En_Bom,C0E6F0,C0F5C0,C0E6F0,0
ovl_En_Wallmas,C0F5C0,C10FD0,C0F5C0,0
ovl_En_Dodongo,C10FD0,C13D70,C10FD0,0
ovl_En_Firefly,C13D70,C15EE0,C13D70,0
ovl_En_Horse,C15EE0,C22140,C15EE0,0
ovl_En_Arrow,C22140,C23830,C22140,0
ovl_En_Elf,C23830,C281F0,C23830,0
ovl_En_Niw,C281F0,C2B520,C281F0,0
ovl_En_Tite,C2B520,C2E2C0,C2B520,0
ovl_En_Reeba,C2E2C0,C2FD30,C2E2C0,0
ovl_En_Peehat,C2FD30,C33430,C2FD30,0
ovl_En_Holl,C33430,C34400,C33430,0
ovl_En_Scene_Change,C34400,C34530,C34400,0
ovl_En_Zf,C34530,C3B020,C34530,0
ovl_En_Hata,C3B020,C3B5B0,C3B020,0
ovl_Boss_Dodongo,C3B5B0,C45090,C3B5B0,0
ovl_Boss_Goma,C45090,C4B010,C45090,0
ovl_En_Zl1,C4B010,C4EE10,C4B010,0
ovl_En_Viewer,C4EE10,C51CC0,C4EE10,0
ovl_En_Goma,C51CC0,C54950,C51CC0,0
ovl_Bg_Pushbox,C54950,C54C50,C54950,0
ovl_En_Bubble,C54C50,C56070,C54C50,0
ovl_Door_Shutter,C56070,C582F0,C56070,0
ovl_En_Dodojr,C582F0,C5A190,C582F0,0
ovl_En_Bdfire,C5A190,C5AD20,C5A190,0
ovl_En_Boom,C5AD20,C5B5E0,C5AD20,0
ovl_En_Torch2,C5B5E0,C5DD40,C5B5E0,0
ovl_En_Bili,C5DD40,C60010,C5DD40,0
ovl_En_Tp,C60010,C61E60,C60010,0
ovl_En_St,C61E60,C64AD0,C61E60,0
ovl_En_Bw,C64AD0,C67E40,C64AD0,0
ovl_En_Eiyer,C67E40,C69AA0,C67E40,0
ovl_En_River_Sound,C69AA0,C6A430,C69AA0,0
ovl_En_Horse_Normal,C6A430,C6CA50,C6A430,0
ovl_En_Ossan,C6CA50,C73030,C6CA50,0
ovl_Bg_Treemouth,C73030,C74690,C73030,0
